Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4
Clostridiaceae	Family	Bacteria		Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae			722421.0	2.1955552828E8	1.322694608E8	4.2524929E7	5.0674913E8	1.08451982E8	2.563570138E7	5.7265702E7	4.9162835E7	4.92387858E7	2.5251826E7	1.01674022E8	1.29726207E8
QAND01	Family	Bacteria		Firmicutes_A	Clostridia_A	Christensenellales	QAND01			0.0	546958.0	36822.0	0.0	265660.0	864470.0	352981.63	5995060.0	1.16132841E7	654843.9	2898360.0	1780940.0	0.0
Salinicoccaceae	Family	Bacteria		Firmicutes	Bacilli	Staphylococcales	Salinicoccaceae			0.0	0.0	0.0	0.0	0.0	0.0	0.0	1676000.0	2078500.0	2464100.0	83192.0	0.0	0.0
Fusobacteriaceae	Family	Bacteria		Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae			2434950.0	87154.0	239320.0	507243.0	1516190.0	1260210.0	265931.11	3357109.0	7259803.0	833939.0	3451041.0	1.6564233E7	3435530.0
Paludibacteraceae	Family	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae			0.0	21787.0	0.0	9203.7	240860.0	0.0	5744.964999999999	3411314.0	522776.3	120531.6	158872.0	916781.0	295730.0
UBA1829	Family	Bacteria		Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829			2124.1	21834.0	0.0	711.23	43517.0	216850.0	751088.94	982394.0	1473934.0	521730.0	1821371.0	1.0073676E7	2858664.0
CAG-449	Family	Bacteria		Firmicutes	Bacilli	RFN20	CAG-449			0.0	131.81	8217.3	89.33	9693174.3	1.23895621E8	268788.66000000003	6885.4	5894915.0	1019200.0	6121958.4	4462210.0	6815.299999999999
Marinifilaceae	Family	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae			147502.4	4.6314086391999996E8	1.5203186728E7	395171.77	1.0499239E7	2.3969341E7	1.32783463319E7	6.50025616E7	3.9331883E7	2.01728633E7	4.734856781E7	6.83719871E7	2.53118515E7
Muribaculaceae	Family	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae			2289280.3	5.1496795E7	1.333998676E8	6874584.0	5.76838678E7	5.52620911E7	2.78153006588E7	5.96714316E7	2.57605304E7	2.64110197E7	2.4391107E7	4.76626E7	2.7558346E7
UBA1067	Family	Bacteria		Verrucomicrobiota	Kiritimatiellae	RFP12	UBA1067			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UMGS124	Family	Bacteria		Actinobacteriota	Coriobacteriia	Coriobacteriales	UMGS124			0.0	0.0	0.0	113410.0	0.0	0.0	92412.91	1201481.0	1782370.0	358458.0	842500.0	1340905.0	720736.0
Tissierellaceae	Family	Bacteria		Firmicutes_A	Clostridia	Tissierellales	Tissierellaceae			0.0	567122.08	110079.0	140270.0	1.31738512E8	8035399.0	2130125.0	359840.0	964740.0	5299237.5	193520.0	0.0	0.0
Bacteroidaceae	Family	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae			2.4782316394000003E8	2.0674101702344E9	1.292665164946E9	6.23932650499E8	1.10619938032E9	8.1227431347E8	2.27496387596E8	1.4966214156E9	1.2367569636000001E9	4.3432611500000006E8	6.638525478E8	1.5543512127E9	1.1693382657E9
CAG-917	Family	Bacteria		Firmicutes_A	Clostridia_A	Christensenellales	CAG-917			0.0	0.0	4748600.0	2862.7	0.0	10483.0	308463.77	63295.0	3670929.0	2697.0	17365.0	879858.0	78395.0
Megasphaeraceae	Family	Bacteria		Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae			2152600.0	2.9793453E7	8765548.7	2831950.0	1.1003089E7	2.215239E7	2883421.7	1.8184315E7	1.2812301E7	1.6903399E7	1.2140747E7	8959862.0	2519900.0
HGM11514	Family	Bacteria		Firmicutes_A	Clostridia	HGM11514	HGM11514			172280.0	1965300.0	58979.0	0.0	369890.0	110560.0	0.0	924170.0	1167530.0	497440.0	0.0	0.0	673090.0
UMGS1253	Family	Bacteria		Firmicutes_A	Clostridia	Monoglobales_A	UMGS1253			0.0	0.0	0.0	0.0	1976490.0	2.007987E7	0.0	4795880.0	1868700.0	333205.0	4168534.0	1599920.0	65258.0
