Protein IDs	Majority protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4	Only identified by site	Reverse	Potential contaminant	id
MGYG000000258_01699	MGYG000000258_01699	9	5	2.84	4.624E7	0E0	4.268E6	1.0341E6	0E0	9.2465E6	3.6916E6	1.0698E5	5.6165E6	4.6566E6	4.2599E6	0E0	4.3182E6	9.0419E6				11486
MGYG000000251_00328	MGYG000000251_00328	6	2	2.84	9.1462E6	0E0	0E0	0E0	7.7187E5	5.5623E6	0E0	5.9449E4	9.4713E5	6.2904E5	0E0	0E0	0E0	1.1765E6				11487
MGYG000001292_01855	MGYG000001292_01855	3	3	2.84	1.7791E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0	3.5088E5	3.3801E5	0E0	2.2628E5	8.6392E5	0E0				11488
sp|P62277|RS13_HUMAN	sp|P62277|RS13_HUMAN	1	1	2.84	1.8786E7	3.3052E6	1.0155E7	1.0106E6	2.5516E6	1.3924E6	0E0	2.9849E5	7.2312E4	0E0	0E0	0E0	0E0	0E0				11489
MGYG000000312_01004	MGYG000000312_01004	14	1	2.84	4.4462E6	4.6049E5	0E0	0E0	5.02E4	8.2761E5	0E0	0E0	0E0	1.3531E6	0E0	3.5984E5	7.7956E5	6.1541E5				11490
MGYG000002274_00524	MGYG000002274_00524	2	1	2.84	2.3404E6	0E0	0E0	3.9244E5	0E0	1.0541E6	8.5373E5	4.0034E4	0E0	0E0	0E0	0E0	0E0	0E0				11491
sp|Q9UM00|TMCO1_HUMAN	sp|Q9UM00|TMCO1_HUMAN	1	1	2.84	6.7225E5	0E0	0E0	0E0	2.8391E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	3.8834E5				11492
MGYG000000039_02393	MGYG000000039_02393	2	2	2.84	6.0999E5	0E0	0E0	1.576E5	9.412E4	0E0	3.5827E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11493
MGYG000000062_01680	MGYG000000062_01680	5	3	2.84	5.1001E6	0E0	8.5881E5	0E0	0E0	0E0	0E0	0E0	2.2833E6	9.79E5	0E0	9.79E5	0E0	0E0				11494
sp|A7E2Y1|MYH7B_HUMAN	sp|A7E2Y1|MYH7B_HUMAN	11	2	2.84	3.2822E7	0E0	3.0317E6	9.5965E5	0E0	0E0	1.9584E7	0E0	0E0	0E0	0E0	1.7218E6	0E0	7.5248E6				11495
MGYG000004345_01480	MGYG000004345_01480	10	4	2.84	8.6596E7	0E0	4.1133E7	1.0272E6	3.1499E6	5.3847E6	1.3015E7	1.7834E5	4.3126E6	8.5373E6	4.3693E6	0E0	5.4884E6	0E0				11496
MGYG000000775_00368	MGYG000000775_00368	1	1	2.84	8.974E6	4.4509E4	0E0	0E0	0E0	1.644E6	6.6397E4	4.1466E4	2.0358E6	2.1655E6	3.7117E5	2.1099E6	0E0	4.9527E5				11497
MGYG000000262_03003	MGYG000000262_03003	5	5	2.84	3.4518E7	0E0	2.055E6	3.5233E6	1.5566E6	2.3503E6	4.0939E6	5.3745E5	5.8093E6	1.4885E6	1.005E6	1.4477E6	6.8738E6	3.7772E6				11498
MGYG000001760_01746	MGYG000001760_01746	2	1	2.84	6.7945E5	0E0	0E0	0E0	1.6144E5	0E0	0E0	5.1801E5	0E0	0E0	0E0	0E0	0E0	0E0				11499
MGYG000002528_01840	MGYG000002528_01840	4	3	2.84	2.6226E7	0E0	1.9965E5	0E0	0E0	6.0205E5	1.3132E7	2.6419E4	2.6334E6	3.9981E6	8.6773E5	5.4567E5	2.6711E6	1.5499E6				11500
MGYG000000065_01297	MGYG000000065_01297	4	1	2.84	2.491E6	0E0	0E0	3.2343E5	5.2979E4	7.4129E5	7.9941E5	7.4856E4	0E0	0E0	0E0	0E0	0E0	4.9901E5				11501
MGYG000000031_01147	MGYG000000031_01147	5	4	2.84	1.2193E7	0E0	0E0	0E0	0E0	1.0648E6	6.1747E6	4.7741E5	1.421E6	8.7176E5	5.2095E5	0E0	1.1864E6	4.758E5				11502
