Protein IDs	Majority protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4	Only identified by site	Reverse	Potential contaminant	id
sp|P01876|IGHA1_HUMAN	sp|P01876|IGHA1_HUMAN	105	61	28.3	2.8688E8	1.9742E6	4.9411E6	4.5631E6	4.6026E6	2.2326E7	2.0605E7	2.1948E6	4.5501E7	4.235E7	1.1481E7	3.022E7	6.8095E7	2.8022E7				0
sp|P09093|CEL3A_HUMAN	sp|P09093|CEL3A_HUMAN	218	133	27.83	5.1095E8	9.3068E6	4.0983E6	4.8385E6	3.7009E6	4.9754E7	1.4133E8	4.7462E6	5.7455E7	4.9943E7	2.1512E7	2.4511E7	6.502E7	7.4734E7				1
sp|P01009|A1AT_HUMAN	sp|P01009|A1AT_HUMAN	89	87	27.43	4.0702E9	5.614E7	1.1179E8	5.5155E7	2.967E7	6.8782E7	8.7379E7	3.1231E7	9.8176E8	7.7365E8	1.07E8	2.98E8	1.3182E9	1.5149E8				2
sp|P08861|CEL3B_HUMAN	sp|P08861|CEL3B_HUMAN	138	52	27.21	5.8753E7	3.6636E5	1.4651E6	1.788E6	3.4866E6	5.9517E6	5.2066E6	6.3309E5	8.4904E6	7.0033E6	3.0287E6	3.5706E6	9.1318E6	8.6311E6				3
sp|P04054|PA21B_HUMAN	sp|P04054|PA21B_HUMAN	68	68	27.07	2.7181E8	6.0822E6	2.2143E7	2.1533E6	5.1457E6	2.0189E7	3.7544E7	2.2898E6	3.4348E7	2.9277E7	1.3403E7	1.2831E7	3.8649E7	4.7755E7				4
sp|P19961|AMY2B_HUMAN	sp|P19961|AMY2B_HUMAN	218	9	26.91	4.0331E8	5.7664E6	1.6568E8	2.0574E7	1.682E7	1.1123E7	2.0574E7	1.906E6	3.8165E7	2.5946E7	1.0766E7	2.2861E7	4.4055E7	1.9071E7				5
sp|P01591|IGJ_HUMAN	sp|P01591|IGJ_HUMAN	36	36	26.08	2.9365E7	1.6189E5	5.9141E5	4.1581E5	6.9215E4	2.2075E6	2.1127E6	2.2323E5	3.411E6	2.6178E6	3.5344E5	1.5725E6	8.4822E6	7.1467E6				6
sp|Q8WWU7|ITLN2_HUMAN	sp|Q8WWU7|ITLN2_HUMAN	51	30	25.77	1.2946E7	3.8316E4	1.0435E5	9.5309E4	7.9383E4	7.3214E5	3.2797E6	1.7243E5	1.8682E6	1.5954E6	6.3094E5	8.7605E5	2.4765E6	9.9748E5				7
sp|P01834|IGKC_HUMAN	sp|P01834|IGKC_HUMAN	63	1	25.14	1.2739E7	1.5826E5	0E0	0E0	0E0	1.917E5	1.7127E5	1.578E5	2.7526E6	3.0307E6	5.1616E5	6.1436E5	3.1668E6	1.9798E6				8
sp|P04746|AMYP_HUMAN	sp|P04746|AMYP_HUMAN	234	17	25.1	1.2058E8	1.226E6	7.603E6	1.1074E7	4.8295E6	3.336E6	9.7522E6	2.5453E6	1.5907E7	1.3023E7	5.4214E6	8.6999E6	2.0025E7	1.7133E7				9
sp|P0DTE7|AMY1B_HUMAN	sp|P0DTE7|AMY1B_HUMAN	211	10	24.98	2.8956E7	1.388E5	2.7866E6	2.2849E6	1.2931E6	2.3128E6	2.9485E6	4.7768E5	3.8142E6	2.8652E6	1.2029E6	2.2362E6	4.8375E6	1.7574E6				10
MGYG000003937_01177	MGYG000003937_01177	81	10	24.84	3.388E7	4.7797E5	1.2273E6	2.5385E5	2.0877E5	5.707E6	3.4009E6	4.8487E5	6.0918E6	3.9247E6	2.8472E6	1.4359E6	5.0214E6	2.7984E6				11
MGYG000003937_00334	MGYG000003937_00334	42	20	24.68	2.9368E6	5.3561E3	7.0995E4	5.991E4	6.6038E3	3.9114E5	3.298E5	2.0441E4	2.9433E5	2.7617E5	5.595E4	1.3825E5	5.6452E5	7.2334E5				12
MGYG000000039_00220	MGYG000000039_00220	54	11	24.63	3.2643E7	2.7843E5	4.3192E5	9.8539E5	7.0402E5	3.7209E6	6.4241E5	6.6467E5	2.2724E6	2.3874E6	5.2455E5	1.0196E6	7.4795E6	1.1531E7				13
MGYG000000039_01531	MGYG000000039_01531	18	18	24.32	4.2871E8	1.6226E7	2.7297E7	1.9574E7	4.0345E6	1.4196E7	2.907E7	6.774E6	8.0377E7	4.4623E7	1.4661E7	9.1268E6	6.0002E7	1.0275E8				14
sp|Q99895|CTRC_HUMAN	sp|Q99895|CTRC_HUMAN	141	133	24.31	1.2229E9	3.5762E7	3.5268E7	4.4258E7	4.7341E7	1.199E8	3.1806E8	1.6109E7	1.2736E8	9.9269E7	6.484E7	4.5994E7	1.3931E8	1.2944E8				15
MGYG000001338_02547	MGYG000001338_02547	118	8	24.26	3.065E6	6.3836E3	2.0245E5	2.1777E4	1.4786E4	3.7822E5	3.017E5	1.1253E4	3.5438E5	4.4622E5	1.8958E5	2.3088E5	8.0792E5	9.9409E4				16
MGYG000002298_02410	MGYG000002298_02410	56	1	24.1	2.2661E6	1.1432E5	0E0	0E0	0E0	0E0	5.3852E5	0E0	4.122E5	3.8767E5	9.8934E4	1.4041E5	5.7406E5	0E0				17
MGYG000000002_02120	MGYG000000002_02120	108	2	24.09	5.6157E6	8.0091E4	0E0	5.2555E4	2.9685E4	1.8525E5	5.7932E5	3.1779E4	1.1318E6	8.9757E5	5.1011E5	5.2626E5	9.1243E5	6.7877E5				18
MGYG000000031_02181	MGYG000000031_02181	116	8	24.09	5.4991E5	1.2649E4	0E0	5.6766E4	2.241E3	6.9478E4	1.05E5	6.81E3	1.1825E5	3.7674E4	2.1063E4	4.1829E4	6.1132E4	1.7013E4				19
MGYG000000039_00172	MGYG000000039_00172	60	11	24.02	5.3495E6	0E0	4.136E4	5.6247E4	4.4321E4	1.0148E6	6.6646E4	9.1519E4	9.8517E5	8.3244E5	1.1382E5	2.2624E5	1.5018E6	3.7511E5				20
MGYG000004345_01287	MGYG000004345_01287	97	25	23.61	4.0244E7	4.1395E5	4.0865E6	6.3192E5	7.9251E5	2.8424E6	2.2099E6	5.51E5	7.6296E6	5.6693E6	2.3197E6	6.7536E6	5.6173E6	7.2669E5				21
sp|P01871|IGHM_HUMAN	sp|P01871|IGHM_HUMAN	48	47	23.55	3.7961E7	2.9592E5	3.009E5	2.7672E5	3.3381E5	2.4709E6	3.7726E6	8.6298E5	6.519E6	5.5053E6	1.8117E6	3.9588E6	8.5669E6	3.2857E6				22
MGYG000000212_01474	MGYG000000212_01474	77	3	23.48	3.2729E6	0E0	0E0	0E0	2.5381E5	3.0721E5	6.0036E5	6.6632E3	6.0222E5	4.2553E5	1.9209E5	2.9394E5	3.6969E5	2.2142E5				23
MGYG000000038_01678	MGYG000000038_01678	43	32	23.39	6.2602E7	1.1714E6	1.4247E6	9.5405E5	2.0921E5	8.3552E6	1.1626E7	1.7573E5	8.3903E6	7.6606E6	2.9679E6	5.2587E6	1.2142E7	2.2657E6				24
MGYG000001338_03531	MGYG000001338_03531	54	4	23.34	1.2758E6	0E0	0E0	1.238E4	2.4117E4	1.4878E5	2.0981E5	5.5545E3	1.8148E5	1.2514E5	1.9507E4	8.2204E4	2.4325E5	2.2358E5				25
sp|P15085|CBPA1_HUMAN	sp|P15085|CBPA1_HUMAN	90	86	23.29	1.3756E9	3.3883E7	9.2062E7	8.6146E7	7.9948E7	1.4323E8	1.0469E8	1.2734E7	2.1711E8	1.575E8	9.4393E7	6.0327E7	1.9889E8	9.4736E7				26
MGYG000002492_02848	MGYG000002492_02848	64	10	23.25	6.3603E6	3.5731E4	8.1337E4	3.7275E4	7.8175E4	9.3805E5	2.17E5	8.7848E4	1.0569E6	1.1422E6	4.278E5	5.1125E5	1.1517E6	5.9499E5				27
MGYG000003899_01619	MGYG000003899_01619	39	4	23.18	4.8543E6	0E0	0E0	0E0	0E0	0E0	0E0	2.4244E5	5.2507E5	4.7938E5	8.6752E4	2.2901E5	1.3767E6	1.9149E6				28
MGYG000000050_00593	MGYG000000050_00593	86	1	23.13	1.6204E6	0E0	0E0	0E0	0E0	0E0	1.6204E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0				29
MGYG000003937_01904	MGYG000003937_01904	54	33	23	4.0609E7	5.712E5	7.2177E5	3.6325E5	4.6632E5	5.3322E6	3.5424E6	2.1116E5	5.5732E6	5.4818E6	2.6571E6	5.3219E6	8.4321E6	1.9347E6				30
MGYG000000258_01360	MGYG000000258_01360	60	12	22.98	5.9332E6	9.9098E4	3.1869E5	1.0742E5	6.0958E5	4.9284E5	2.0264E5	1.7495E4	9.3208E5	4.1854E5	2.6432E5	6.2636E5	1.3179E6	5.2621E5				31
MGYG000002312_02078	MGYG000002312_02078	31	1	22.97	3.8795E6	1.6183E5	1.0256E5	0E0	4.8177E5	3.2262E5	0E0	4.3639E4	5.3474E5	1.2055E6	0E0	0E0	2.7273E5	7.5403E5				32
MGYG000000263_00800	MGYG000000263_00800	54	2	22.96	2.4185E7	0E0	0E0	4.0482E5	1.5485E5	5.111E6	9.7448E6	2.9844E5	1.8822E6	5.6864E5	1.156E5	8.4577E5	2.0293E6	3.03E6				33
MGYG000002492_01331	MGYG000002492_01331	132	25	22.95	1.1893E7	1.2706E5	1.0515E6	3.4507E5	1.302E6	1.4696E6	8.4301E5	1.7433E5	1.3566E6	1.1392E6	7.9421E5	1.0196E6	1.3758E6	8.9502E5				34
MGYG000003695_01114	MGYG000003695_01114	81	1	22.93	1.2863E6	0E0	0E0	0E0	0E0	0E0	1.2863E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0				35
MGYG000003937_01472	MGYG000003937_01472	115	15	22.85	1.6579E7	2.0507E5	1.2378E6	2.9655E5	2.4624E5	3.9786E6	5.9831E5	2.084E5	2.2208E6	1.9555E6	8.9475E5	1.2138E6	2.1918E6	1.3317E6				36
MGYG000000196_01785	MGYG000000196_01785	28	8	22.84	5.263E7	0E0	4.7623E5	1.574E5	1.1998E6	3.5797E6	1.1326E7	7.578E5	1.4834E7	1.0019E7	4.0007E5	1.1369E6	6.7571E6	1.9862E6				37
MGYG000002492_00657	MGYG000002492_00657	49	5	22.83	2.7906E6	9.615E3	1.7157E2	0E0	0E0	2.868E4	9.2394E4	1.5124E5	4.0213E5	2.6781E5	2.017E5	3.9728E5	8.5298E5	3.8657E5				38
MGYG000003694_02267	MGYG000003694_02267	43	3	22.69	6.0474E7	0E0	3.2205E6	1.0404E7	7.8186E6	5.94E6	3.2267E6	4.3165E5	5.4271E6	2.5009E6	8.1218E5	1.1289E6	7.4399E6	1.2124E7				39
MGYG000002492_01379	MGYG000002492_01379	80	17	22.68	3.8777E7	1.2735E6	5.7113E5	2.2345E6	2.4156E5	2.6346E6	1.3144E6	6.9521E5	6.0681E6	5.7586E6	1.6023E6	1.2761E6	5.7831E6	9.3242E6				40
MGYG000000263_01598	MGYG000000263_01598	200	1	22.66	4.7317E6	0E0	4.457E6	0E0	0E0	0E0	0E0	2.7471E5	0E0	0E0	0E0	0E0	0E0	0E0				41
MGYG000002528_00902	MGYG000002528_00902	54	3	22.62	1.5058E6	1.004E5	0E0	3.5192E4	0E0	2.314E5	7.2157E5	2.1299E4	0E0	3.9598E5	0E0	0E0	0E0	0E0				42
MGYG000000262_02162	MGYG000000262_02162	48	16	22.59	4.1344E7	5.4156E5	6.174E5	5.5275E5	1.4723E6	5.4671E6	8.1318E6	2.1646E5	4.0867E6	2.5501E6	7.633E5	1.4827E6	8.6413E6	6.821E6				43
MGYG000004296_01958	MGYG000004296_01958	67	1	22.57	5.2041E5	0E0	0E0	0E0	0E0	0E0	0E0	8.7444E3	1.3497E5	0E0	0E0	7.5779E4	2.4373E5	5.7185E4				44
MGYG000000031_00772	MGYG000000031_00772	47	2	22.54	7.2294E6	0E0	0E0	0E0	4.6198E4	2.3985E6	1.5347E6	6.0003E4	3.3432E5	3.4705E5	0E0	2.8648E5	1.1784E6	1.0438E6				45
MGYG000000201_02350	MGYG000000201_02350	41	6	22.54	5.1972E6	8.1438E4	6.2851E4	6.4228E4	4.3358E4	1.259E6	2.5682E5	1.8942E4	4.2275E5	3.8873E5	1.1985E5	2.8174E5	1.3024E6	8.95E5				46
MGYG000000031_02405	MGYG000000031_02405	191	1	22.53	7.4315E5	0E0	0E0	0E0	0E0	0E0	0E0	1.047E5	0E0	2.6323E5	0E0	2.3198E5	0E0	1.4325E5				47
MGYG000000038_01470	MGYG000000038_01470	54	5	22.5	3.2482E6	2.2008E5	3.5236E3	3.1488E4	0E0	5.0505E5	3.4365E5	2.1025E4	4.365E5	4.5032E5	1.4846E5	1.4763E5	5.1045E5	4.2998E5				48
sp|P61626|LYSC_HUMAN	sp|P61626|LYSC_HUMAN	22	22	22.43	6.9682E7	2.6325E5	1.8223E5	1.2891E5	2.7897E5	1.8539E6	9.571E6	8.1209E5	9.6841E6	8.7265E6	2.1397E6	3.6296E6	1.3506E7	1.8906E7				49
sp|Q9Y6R7|FCGBP_HUMAN	sp|Q9Y6R7|FCGBP_HUMAN	298	297	22.34	1.195E9	1.4913E7	2.709E7	4.0822E7	2.486E7	5.9766E7	6.0335E7	1.6116E7	2.1721E8	1.8466E8	1.4133E8	1.2113E8	1.9747E8	8.9336E7				50
MGYG000001338_00216	MGYG000001338_00216	91	3	22.26	1.5964E6	0E0	0E0	0E0	8.9532E3	6.5239E5	9.2774E4	1.1261E4	1.5157E5	1.2548E5	4.1022E4	1.9613E5	3.1679E5	0E0				51
MGYG000000262_02231	MGYG000000262_02231	60	28	22.23	3.3506E8	1.3806E7	4.9666E6	7.1348E6	4.5526E6	9.3017E7	1.5203E7	3.1855E6	4.9098E7	3.001E7	1.0312E7	2.5009E7	6.1429E7	1.7341E7				52
MGYG000000038_00311	MGYG000000038_00311	78	6	22.08	1.5891E6	6.54E4	0E0	0E0	0E0	6.4881E5	5.904E4	5.4627E3	1.7049E5	1.4241E5	7.9289E4	1.5711E5	2.4585E5	1.5233E4				53
MGYG000003937_01847	MGYG000003937_01847	57	27	22.08	7.6571E7	2.0405E6	9.2151E5	1.5781E6	4.3501E5	1.5964E7	4.195E6	6.137E5	1.0579E7	1.0923E7	3.0294E6	6.6045E6	1.6417E7	3.2702E6				54
MGYG000003695_01392	MGYG000003695_01392	42	3	22.07	2.822E7	0E0	1.0366E6	0E0	7.6801E4	7.5007E6	6.5871E6	7.3402E4	1.6202E6	2.2704E6	0E0	7.0382E5	4.9559E6	3.3948E6				55
MGYG000003166_01335	MGYG000003166_01335	39	2	22.03	1.7788E8	0E0	0E0	1.7645E7	2.7566E6	1.3085E7	0E0	1.6557E6	1.3802E7	3.5322E7	5.0155E6	1.1119E7	5.9621E7	1.7858E7				56
MGYG000004345_00301	MGYG000004345_00301	60	6	22.02	4.3717E7	3.3997E6	1.2972E6	3.4544E5	1.3517E5	1.4999E6	2.0942E6	1.1056E5	6.552E6	7.916E6	2.5106E6	5.0612E6	1.229E7	5.05E5				57
sp|P15086|CBPB1_HUMAN	sp|P15086|CBPB1_HUMAN	94	86	21.98	7.5505E8	1.5328E7	5.0072E7	3.0048E7	1.5804E7	5.5444E7	4.2547E7	1.0901E7	1.251E8	1.1078E8	3.3789E7	3.0668E7	1.3046E8	1.0411E8				58
MGYG000000262_00361	MGYG000000262_00361	22	21	21.93	2.3705E7	2.5743E5	6.8723E5	6.1986E5	4.5075E5	1.8783E6	1.3542E6	2.3673E5	3.6767E6	3.8455E6	1.1706E6	1.3299E6	6.5247E6	1.6736E6				59
sp|P07477|TRY1_HUMAN	sp|P07477|TRY1_HUMAN	55	34	21.92	4.5913E7	2.8529E6	2.8529E6	1.4769E6	6.2584E5	1.3673E6	8.8963E5	5.2077E5	6.3755E6	5.3893E6	1.6959E6	2.1264E6	7.5234E6	1.2216E7				60
MGYG000002528_02666	MGYG000002528_02666	27	8	21.88	6.7633E7	1.5153E7	5.0971E5	3.8102E5	0E0	5.2609E6	3.4648E6	2.4025E5	8.7312E6	9.1275E6	1.4134E6	2.3626E6	1.5344E7	5.6444E6				61
MGYG000000969_01368	MGYG000000969_01368	32	1	21.83	1.5729E6	0E0	0E0	0E0	1.0199E5	0E0	0E0	1.0691E4	6.2375E5	5.2678E5	0E0	0E0	3.0969E5	0E0				62
MGYG000002290_01484	MGYG000002290_01484	40	2	21.81	5.5002E5	0E0	0E0	4.6421E3	0E0	7.9374E4	7.8192E4	2.9798E4	5.6936E4	4.8946E4	0E0	4.3576E4	9.1109E4	1.1745E5				63
MGYG000001007_02263	MGYG000001007_02263	9	9	21.79	3.4017E6	3.1478E3	3.2737E3	8.6515E4	2.7959E3	3.1565E4	8.1171E4	2.4591E4	5.2753E5	4.7222E5	4.0479E4	3.2382E5	1.4349E6	3.6968E5				64
MGYG000000184_01883	MGYG000000184_01883	73	1	21.78	4.5979E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0	1.4286E6	0E0	0E0	1.1221E6	2.0471E6	0E0				65
MGYG000000262_01195	MGYG000000262_01195	77	9	21.71	6.7601E7	0E0	0E0	6.8662E6	6.5909E5	6.146E6	9.4288E6	4.259E5	1.0563E7	4.6165E6	3.9711E6	4.418E6	1.8635E7	1.8723E6				66
sp|P17538|CTRB1_HUMAN	sp|P17538|CTRB1_HUMAN	55	6	21.64	6.8931E6	5.7887E5	4.8129E5	8.3815E4	5.7011E4	1.0635E6	1.0089E6	3.0476E4	1.152E6	3.2665E5	2.6951E5	3.1855E5	9.1908E5	6.035E5				67
sp|P00441|SODC_HUMAN	sp|P00441|SODC_HUMAN	16	16	21.6	1.7282E7	1.1603E5	1.0644E6	1.2619E6	1.8638E5	4.4174E5	3.7093E5	3.8381E4	1.9163E6	1.8743E6	2.964E5	8.4035E5	5.0662E6	3.8089E6				68
MGYG000002492_00628	MGYG000002492_00628	58	3	21.59	1.2218E7	0E0	3.6655E5	3.4606E5	2.381E5	2.2214E6	1.6479E5	3.832E5	3.0927E6	1.4827E6	8.4071E5	2.3614E5	1.6495E6	1.1959E6				69
MGYG000000193_00882	MGYG000000193_00882	52	5	21.55	1.363E8	6.2039E6	1.2946E6	6.2384E5	1.762E6	3.5879E7	3.8422E6	2.1947E6	1.1975E7	9.938E6	3.5936E6	2.684E6	2.4976E7	3.1334E7				70
sp|Q6UWV6|ENPP7_HUMAN	sp|Q6UWV6|ENPP7_HUMAN	55	55	21.5	4.2114E8	1.6041E7	4.8207E6	1.1915E7	8.1509E6	5.2728E7	2.5484E7	5.3719E6	6.9278E7	5.3275E7	1.208E7	3.5207E7	9.0925E7	3.5868E7				71
MGYG000000212_00440	MGYG000000212_00440	153	6	21.48	1.2555E7	0E0	0E0	1.1813E6	2.3156E5	2.3005E6	6.4171E5	1.217E5	1.4596E6	9.2197E5	1.1808E6	1.8004E6	2.0289E6	6.8694E5				72
MGYG000002492_00484	MGYG000002492_00484	61	46	21.46	2.1536E7	6.566E4	1.6582E6	1.0769E6	4.6007E5	2.678E6	1.4732E6	1.4831E5	2.6976E6	2.3501E6	1.0956E6	2.4214E6	3.7531E6	1.6582E6				73
sp|Q6GPI1|CTRB2_HUMAN	sp|Q6GPI1|CTRB2_HUMAN	52	3	21.44	1.2077E7	1.2417E4	1.8785E4	3.4566E5	1.7736E4	9.2426E5	2.6115E6	1.2994E5	1.7947E6	1.9187E6	3.6658E5	7.0607E5	2.116E6	1.1149E6				74
MGYG000004041_00567	MGYG000004041_00567	49	36	21.41	9.0501E7	5.5896E5	3.1081E5	6.1602E5	5.8553E5	8.0873E6	1.7019E6	7.3805E5	2.1677E7	1.6422E7	1.1351E7	2.1138E7	4.7702E6	2.5444E6				75
MGYG000003937_01460	MGYG000003937_01460	60	31	21.31	4.3496E7	3.0371E5	4.404E6	3.8684E5	4.2324E5	8.204E6	2.7145E6	3.5432E5	5.9392E6	6.2683E6	1.6298E6	4.7994E6	6.8629E6	1.2062E6				76
MGYG000002469_01093	MGYG000002469_01093	38	2	21.19	4.8406E7	0E0	0E0	0E0	0E0	0E0	0E0	0E0	1.1655E7	9.5862E6	2.5326E6	5.6709E6	1.8193E7	7.6817E5				77
MGYG000000039_01268	MGYG000000039_01268	30	3	21.18	4.1784E6	1.0567E4	3.481E4	1.6937E4	1.3567E4	4.7946E5	1.3665E4	8.3211E4	4.5177E5	8.6897E5	1.6003E5	3.5274E5	1.1459E6	5.4675E5				78
sp|P0DOX7|IGK_HUMAN	sp|P0DOX7|IGK_HUMAN	71	1	21.16	1.0962E6	0E0	7.0784E3	1.747E5	1.1797E5	8.1742E4	0E0	1.0321E4	2.4809E5	2.2121E5	2.0677E4	0E0	2.1445E5	0E0				79
sp|A8K7I4|CLCA1_HUMAN	sp|A8K7I4|CLCA1_HUMAN	93	90	21.11	7.7548E8	6.6459E6	3.4064E7	2.3356E7	9.4053E6	5.8319E7	6.3328E7	9.7614E6	1.2546E8	1.0641E8	6.9614E7	7.9751E7	1.2435E8	6.5014E7				80
MGYG000000062_02475	MGYG000000062_02475	39	33	21.11	3.1444E7	2.4916E5	9.7632E5	1.1207E6	6.3651E5	5.6842E6	6.7021E5	2.203E5	4.9586E6	4.2147E6	1.5263E6	3.6748E6	6.1738E6	1.3388E6				81
MGYG000003694_00878	MGYG000003694_00878	55	16	21.1	1.7001E7	8.4969E4	2.6674E5	3.3615E5	1.9705E5	2.9204E5	1.2239E6	2.822E5	2.7136E6	1.6271E6	5.0534E5	7.9152E5	5.1957E6	3.4846E6				82
sp|P01833|PIGR_HUMAN	sp|P01833|PIGR_HUMAN	88	86	21.04	1.6607E8	1.3357E6	7.5786E6	5.0905E6	4.8266E6	1.3804E7	1.4744E7	4.1201E6	2.553E7	2.144E7	8.6164E6	1.5749E7	2.8786E7	1.4454E7				83
MGYG000003215_02003	MGYG000003215_02003	29	2	21	3.3251E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	1.4162E6	4.927E5	0E0	1.4162E6	0E0				84
MGYG000003937_01027	MGYG000003937_01027	84	21	20.96	4.5718E7	4.6835E5	1.3267E6	9.7423E5	4.7637E5	5.371E6	9.2942E6	3.0163E5	6.3886E6	5.6253E6	1.9752E6	3.4713E6	8.0329E6	2.0124E6				85
sp|P07478|TRY2_HUMAN	sp|P07478|TRY2_HUMAN	65	29	20.95	8.0812E7	3.1319E6	5.9052E6	4.2906E6	2.7018E6	4.8533E6	2.3132E6	2.9441E6	1.1099E7	1.0009E7	3.2593E6	4.6996E6	1.4666E7	1.0939E7				86
MGYG000002492_00337	MGYG000002492_00337	16	8	20.89	6.5862E7	6.6368E6	8.383E6	3.7213E5	5.2138E6	0E0	1.848E6	2.3535E6	7.6856E6	4.8184E6	1.7085E6	2.2074E6	8.7819E6	1.5852E7				87
MGYG000002528_02668	MGYG000002528_02668	38	10	20.88	1.8854E7	1.6661E6	5.9381E5	3.5783E5	1.3536E5	2.5899E6	1.862E6	2.071E5	1.8932E6	1.645E6	5.6574E5	8.5872E5	5.4996E6	9.7931E5				88
MGYG000000258_01487	MGYG000000258_01487	29	10	20.86	7.7038E7	1.5318E6	3.1868E7	0E0	7.4222E5	3.8613E6	1.5256E6	1.0514E5	4.5535E6	4.2959E6	9.571E5	2.8013E6	1.2602E7	1.2194E7				89
MGYG000000251_03197	MGYG000000251_03197	65	15	20.85	1.4834E7	7.0033E5	1.029E6	5.1318E5	2.9348E5	5.1812E6	0E0	1.5122E5	1.566E6	2.2357E6	5.3215E5	6.6029E5	1.2408E6	7.3027E5				90
MGYG000003937_00897	MGYG000003937_00897	46	41	20.82	1.4887E7	8.8967E4	1.2014E6	2.9042E5	1.5809E5	1.9839E6	1.0193E6	6.9537E4	2.2385E6	1.8037E6	9.54E5	2.8374E6	1.8649E6	3.7736E5				91
MGYG000003694_00481	MGYG000003694_00481	57	4	20.81	3.7002E8	0E0	1.2502E8	3.2159E6	3.9175E5	1.1546E7	3.2942E7	5.7424E6	2.4294E7	3.9739E7	8.7447E6	1.654E7	6.2202E7	3.9641E7				92
MGYG000001338_03568	MGYG000001338_03568	63	29	20.77	6.8898E7	3.2968E6	1.4481E6	7.5594E5	8.5374E5	1.3666E7	1.2654E6	7.2912E5	9.9962E6	7.4199E6	2.4932E6	7.397E6	1.3131E7	6.4457E6				93
MGYG000003937_01087	MGYG000003937_01087	42	35	20.73	7.0731E7	4.5662E5	2.9322E6	2.4639E6	5.4567E5	2.0652E7	4.3672E6	9.0393E5	9.1974E6	7.639E6	2.8126E6	3.5247E6	1.2146E7	3.0892E6				94
MGYG000000140_02164	MGYG000000140_02164	51	4	20.72	5.8844E6	0E0	0E0	3.6499E5	3.7843E5	0E0	0E0	1.0157E5	2.81E6	5.7831E5	3.3276E5	6.1531E5	0E0	7.0309E5				95
MGYG000003695_01379	MGYG000003695_01379	48	9	20.71	5.4377E7	1.4404E6	3.2771E6	1.0299E6	1.1545E6	2.3979E7	1.978E6	5.5551E5	5.848E6	5.0736E6	1.4097E6	2.7996E6	4.2567E6	1.5751E6				96
MGYG000000258_01047	MGYG000000258_01047	66	12	20.68	3.1288E7	3.0484E5	1.3373E6	7.7123E5	3.7408E5	3.2009E6	1.2861E6	3.1122E5	5.6242E6	4.4102E6	2.6669E6	3.947E6	6.0219E6	1.0321E6				97
MGYG000003494_01029	MGYG000003494_01029	18	6	20.66	2.4898E7	0E0	0E0	1.9732E6	0E0	2.4069E6	0E0	6.3918E4	1.4234E6	2.4069E6	0E0	3.2679E5	6.5434E6	9.754E6				98
MGYG000000002_02252	MGYG000000002_02252	52	5	20.66	5.4323E7	7.0593E5	2.033E6	7.4334E5	1.0298E6	1.3558E7	4.9406E5	5.7221E5	6.1739E6	3.9358E6	1.4174E6	1.4035E6	1.6748E7	5.507E6				99
MGYG000001338_03290	MGYG000001338_03290	45	34	20.64	1.5757E7	5.2822E4	9.9726E5	1.4308E5	2.2706E5	3.3907E6	2.2294E5	1.2366E5	2.0563E6	1.3413E6	3.9926E5	1.8047E6	4.2144E6	7.8349E5				100
MGYG000003937_01092	MGYG000003937_01092	46	13	20.63	9.5077E6	3.3316E4	1.8946E5	4.7885E5	1.0748E5	3.5535E6	4.9629E5	6.1498E4	9.5095E5	6.6303E5	3.7065E5	7.1218E5	1.5376E6	3.5289E5				101
MGYG000000262_02233	MGYG000000262_02233	49	14	20.62	6.728E6	2.0712E5	1.3033E5	1.7377E5	2.6713E5	1.354E6	2.8692E5	3.2664E4	7.2959E5	7.7492E5	2.4512E5	4.275E5	1.8013E6	2.9753E5				102
MGYG000000515_00987	MGYG000000515_00987	34	2	20.62	4.0821E6	0E0	1.0074E5	1.0039E6	2.1753E5	0E0	0E0	8.3808E3	7.12E5	5.1706E5	1.6751E5	3.2225E5	7.7316E5	2.5954E5				103
MGYG000000312_02267	MGYG000000312_02267	38	4	20.59	8.2698E7	0E0	1.2903E7	6.1983E6	7.259E5	3.4064E6	0E0	5.5778E5	4.5131E6	1.7248E7	5.6124E6	6.3104E6	3.8688E6	2.1354E7				104
MGYG000000201_03110	MGYG000000201_03110	61	7	20.54	1.6569E7	2.9469E5	5.6985E5	1.6496E6	3.8614E5	1.7826E6	2.1718E6	1.9975E5	2.0297E6	1.6202E6	6.1062E5	2.1721E6	2.3818E6	6.9992E5				105
MGYG000000216_03214	MGYG000000216_03214	48	2	20.53	4.6603E6	0E0	0E0	1.6293E4	2.3452E4	1.1896E6	1.6164E6	1.6692E4	3.4175E5	1.5523E5	8.4402E4	1.1851E5	4.5252E5	6.4539E5				106
